state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share,result,phone-number,email-address
Bihar,Supaul,Dinesh Prasad Yadav,GENERAL,IND,23045,2.07,3rd place,Not Found,Not Found
Bihar,Araria,PRADEEP KUMAR SINGH,GENERAL,BJP,618434,52.87,Winner,Not Found,Not Found
Bihar,Araria,SARFARAZ ALAM,GENERAL,RJD,481193,41.14,2nd place,Not Found,Not Found
Bihar,Araria,NOTA,,NOTA,20618,1.76,3rd place,NA,NA
Bihar,Kishanganj,Dr. Mohammad Jawed,GENERAL,INC,367017,33.32,Winner,Not Found,Not Found
Bihar,Kishanganj,Syed Mahmood Ashraf,GENERAL,JD(U),332551,30.19,2nd place,Not Found,Not Found
Bihar,Kishanganj,Akhtarul Iman,GENERAL,AIMIM,295029,26.78,3rd place,Not Found,Not Found
Bihar,Katihar,DULAL CHANDRA GOSWAMI,GENERAL,JD(U),559423,50.02,Winner,Not Found,Not Found
Bihar,Katihar,TARIQ ANWAR,GENERAL,INC,502220,44.91,2nd place,Not Found,Not Found
Bihar,Katihar,NOTA,,NOTA,20584,1.84,3rd place,NA,NA
Bihar,Purnia,SANTOSH KUMAR,GENERAL,JD(U),632924,54.85,Winner,Not Found,Not Found
Bihar,Purnia,UDAY SINGH ALIAS PAPPU SINGH,GENERAL,INC,369463,32.02,2nd place,Not Found,Not Found
Bihar,Purnia,SHUBHASH KUMAR THAKUR,GENERAL,IND,31795,2.76,3rd place,Not Found,Not Found
Bihar,Madhepura,Dinesh Chandra Yadav,GENERAL,JD(U),624334,54.4,Winner,Not Found,Not Found
Bihar,Madhepura,Sharad Yadav,GENERAL,RJD,322807,28.13,2nd place,Not Found,Not Found
Bihar,Madhepura,Rajesh Ranjan @ Pappu Yadav,GENERAL,JAPL,97631,8.51,3rd place,Not Found,Not Found
Bihar,Darbhanga,Gopal Jee Thakur,GENERAL,BJP,586668,60.76,Winner,Not Found,Not Found
Bihar,Darbhanga,Abdul Bari Siddiqui,GENERAL,RJD,318689,33.01,2nd place,Not Found,Not Found
Bihar,Darbhanga,NOTA,,NOTA,20468,2.12,3rd place,NA,NA
Bihar,Muzaffarpur,Ajay Nishad,GENERAL,BJP,666878,63.0,Winner,Not Found,Not Found
Bihar,Muzaffarpur,Raj Bhushan Choudhary,GENERAL,VSIP,256890,24.27,2nd place,Not Found,Not Found
Bihar,Muzaffarpur,Sukhdeo Prasad,GENERAL,VPI,24526,2.32,3rd place,Not Found,Not Found
Bihar,Vaishali,Veena Devi (W/o Dinesh Prasad Singh),GENERAL,LJP,568215,52.87,Winner,Not Found,Not Found
Bihar,Vaishali,Raghuvansh Prasad Singh,GENERAL,RJD,333631,31.04,2nd place,Not Found,Not Found
Bihar,Vaishali,Abha Rai,GENERAL,IND,27497,2.56,3rd place,Not Found,Not Found
Bihar,Gopalganj (SC),DR. ALOK KUMAR SUMAN,SC,JD(U),568150,55.37,Winner,Not Found,Not Found
Bihar,Gopalganj (SC),SURENDRA RAM,SC,RJD,281716,27.46,2nd place,Not Found,Not Found
Bihar,Gopalganj (SC),NOTA,,NOTA,51660,5.03,3rd place,NA,NA
Bihar,Siwan,Kavita Singh,GENERAL,JD(U),448473,45.54,Winner,Not Found,Not Found
Bihar,Siwan,Hena Shahab,GENERAL,RJD,331515,33.66,2nd place,Not Found,Not Found
Bihar,Siwan,Amar Nath Yadav,GENERAL,CPI(ML)(L),74644,7.58,3rd place,Not Found,Not Found
Uttar Pradesh,Maharajganj,PANKAJ CHOUDHARY,GENERAL,BJP,726349,59.19,Winner,Not Found,Not Found
Bihar,Maharajganj,"Janardan Singh 'Sigriwal""",GENERAL,BJP,546352,56.15,2nd place,Not Found,Not Found
Bihar,Maharajganj,Randhir Kumar Singh,GENERAL,RJD,315580,32.43,3rd place,Not Found,Not Found
Bihar,Saran,Rajiv Pratap Rudy,GENERAL,BJP,499986,52.99,Winner,Not Found,Not Found
Bihar,Saran,Chandrika Roy,GENERAL,RJD,361575,38.32,2nd place,Not Found,Not Found
Bihar,Saran,NOTA,,NOTA,28286,3.0,3rd place,NA,NA
Bihar,Hajipur (SC),PASHU PATI KUMAR PARAS,SC,LJP,541310,53.72,Winner,Not Found,Not Found
Bihar,Hajipur (SC),SHIV CHANDRA RAM,SC,RJD,335861,33.33,2nd place,Not Found,Not Found
Bihar,Hajipur (SC),RAJ KR. PASWAN,SC,IND,30797,3.06,3rd place,Not Found,Not Found
Bihar,Ujiarpur,Nityanand Rai,GENERAL,BJP,543906,56.08,Winner,Not Found,Not Found
Bihar,Ujiarpur,Upendra Kushwaha,GENERAL,BLSP,266628,27.49,2nd place,Not Found,Not Found
Bihar,Ujiarpur,Ajay Kumar,GENERAL,CPIM,27577,2.84,3rd place,Not Found,Not Found
Bihar,Samastipur (SC),Ramchandra Paswan,SC,LJP,562443,55.15,Winner,Not Found,Not Found
Bihar,Samastipur (SC),Dr. Ashok Kumar,SC,INC,310800,30.48,2nd place,Not Found,Not Found
Bihar,Samastipur (SC),NOTA,,NOTA,35417,3.47,3rd place,NA,NA
Bihar,Begusarai,Giriraj Singh,GENERAL,BJP,692193,56.44,Winner,Not Found,Not Found
