state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share
Andhra Pradesh,Narasaraopet,KANTE SAYANNA,GENERAL,IND,365,0.03
Andhra Pradesh,Narasaraopet,GADDALA VENU,SC,IND,622,0.04
Andhra Pradesh,Narasaraopet,DURGAMPUDI RAMIREDDY,GENERAL,IND,2685,0.19
Andhra Pradesh,Narasaraopet,PARIMI NARASIMHA RAO,GENERAL,IND,1000,0.07
Andhra Pradesh,Narasaraopet,REDDYBOINA PRASANNA KUMAR,SC,IND,1383,0.10
Andhra Pradesh,Narasaraopet,NOTA,,NOTA,12527,0.87
Andhra Pradesh,Bapatla ,CHALLAGALI KISHORE KUMAR,SC,BJP,10351,0.82
Andhra Pradesh,Bapatla ,K. DEVANAND,SC,BSP,42580,3.35
Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,YSRCP,598257,47.11
Andhra Pradesh,Bapatla ,MALYADRI SRIRAM,SC,TDP,582192,45.84
Andhra Pradesh,Bapatla ,J.D. SEELAM,SC,INC,13155,1.04
Andhra Pradesh,Bapatla ,KUMAR KATTEPOGU,SC,PPOI,885,0.07
Andhra Pradesh,Bapatla ,GADDE HARI BABU,SC,NPT,530,0.04
Andhra Pradesh,Bapatla ,CHINA NAGESWARA RAO SADHU,SC,MPP,466,0.04
Andhra Pradesh,Bapatla ,THUMATI RAVI,SC,AlPP,370,0.03
Andhra Pradesh,Bapatla ,NUTHAKKI RAMA RAO,SC,AINPP,606,0.05
Andhra Pradesh,Bapatla ,GELLA NAGAMALLI,SC,IND,655,0.05
Andhra Pradesh,Bapatla ,GOLLA BABURAO,SC,IND,1276,0.10
Andhra Pradesh,Bapatla ,BUSSA NAGARAJU,SC,IND,1951,0.15
Andhra Pradesh,Bapatla ,NOTA,,NOTA,13218,1.04
Andhra Pradesh,Ongole ,THOGANTI SREENIVASULU,GENERAL,BJP,8229,0.61
Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GENERAL,YSRCP,739202,55.00
Andhra Pradesh,Ongole ,SIDDA RAGHAVA RAO,GENERAL,TDP,524351,39.01
Andhra Pradesh,Ongole ,DR SIRIVELLA PRASAD,GENERAL,INC,8139,0.61
Andhra Pradesh,Ongole ,KONDA PRAVEEN KUMAR,ST,NPT,811,0.06
Andhra Pradesh,Ongole ,BELLAMKONDA SAIBABU,GENERAL,JnP,29379,2.19
Andhra Pradesh,Ongole ,MARAM SRINIVASA REDDY,GENERAL,PRSHP,3258,0.24
Andhra Pradesh,Ongole ,VENKATESAN BABURAO,GENERAL,IPBP,1073,0.08
Andhra Pradesh,Ongole ,KAVURI VENU BABU NAIDU,GENERAL,IND,565,0.04
Andhra Pradesh,Ongole ,BILLA CHENNAIAH,SC,IND,673,0.05
Andhra Pradesh,Ongole ,MADHU YATTAPU,GENERAL,IND,1160,0.09
Andhra Pradesh,Ongole ,MOHAN AYYAPPA,GENERAL,IND,1451,0.11
Andhra Pradesh,Ongole ,VENKATESH VEPURI,GENERAL,IND,3212,0.24
Andhra Pradesh,Ongole ,NOTA,,NOTA,20865,1.55
Andhra Pradesh,Nandyal,ADINARAYANA INTY,GENERAL,BJP,9066,0.70
Andhra Pradesh,Nandyal,JANGITE LAKSHMI NARASIMHA YADAV,GENERAL,INC,14420,1.11
Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GENERAL,YSRCP,720888,55.46
Andhra Pradesh,Nandyal,MANDRA SIVANANDA REDDY,GENERAL,TDP,470769,36.22
Andhra Pradesh,Nandyal,D. P. JAMAL BASHA.,GENERAL,AYSRCP,4089,0.31
Andhra Pradesh,Nandyal,PULA. NAGAMADDILETY,SC,ANC,937,0.07
Andhra Pradesh,Nandyal,D. MAHAMMAD RAFI .,GENERAL,BCUF,649,0.05
Andhra Pradesh,Nandyal,RUDDIREDDY RADHAKRISHNA,GENERAL,AIFB,673,0.05
Andhra Pradesh,Nandyal,S.P.Y. REDDY,GENERAL,JnP,38871,2.99
Andhra Pradesh,Nandyal,S. A. INDUMATHI,SC,IND,847,0.07
Andhra Pradesh,Nandyal,ELLURI. BHUPAL.,SC,IND,668,0.05
Andhra Pradesh,Nandyal,K.P. KAMBAGIRISWAMY.,GENERAL,IND,767,0.06
Andhra Pradesh,Nandyal,JESTADI SUDHAKAR,SC,IND,4542,0.35
Andhra Pradesh,Nandyal,I.V. PAKKIR REDDY,GENERAL,IND,3103,0.24
Andhra Pradesh,Nandyal,POLURU GURUVAIAH,GENERAL,IND,6099,0.47
Andhra Pradesh,Nandyal,BHUMA KISHOR REDDY,GENERAL,IND,4852,0.37
Andhra Pradesh,Nandyal,B.C. RAMANATHA REDDY,GENERAL,IND,2543,0.20
Andhra Pradesh,Nandyal,Dr. LAKSHMI KANTHA REDDY CHITLA,GENERAL,IND,1429,0.11
Andhra Pradesh,Nandyal,VANGALA PARAMESWARA REDDY.,GENERAL,IND,2382,0.18
Andhra Pradesh,Nandyal,C. SURENDRA NATH REDDY,GENERAL,IND,1708,0.13
Andhra Pradesh,Nandyal,NOTA,,NOTA,9791,0.75
Andhra Pradesh,Kurnool,AHMED ALI KHAN,GENERAL,INC,36500,3.07
Andhra Pradesh,Kurnool,KOTLA JAYA SURYA PRAKASH REDDY,GENERAL,TDP,456395,38.33
Andhra Pradesh,Kurnool,Dr. PARTHASARATHI VALMIKI,GENERAL,BJP,24418,2.05
Andhra Pradesh,Kurnool,K. PRABHAKARA REDDY,GENERAL,CPIM,19065,1.60
Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GENERAL,YSRCP,605462,50.85
Andhra Pradesh,Kurnool,ABDUL WARIS,GENERAL,SDPI,7293,0.61
Andhra Pradesh,Kurnool,KASULA RAJASEKHAR,GENERAL,PPOI,1231,0.10
Andhra Pradesh,Kurnool,DANDU SESHU YADAV,GENERAL,SP,3282,0.28
Andhra Pradesh,Kurnool,M. NAGANNA,SC,SUCI(C),1285,0.11
Andhra Pradesh,Kurnool,S.MD. SHAFATH,GENERAL,RRS,1229,0.10
Andhra Pradesh,Kurnool,G Sanjeeva Kumar,SC,SMFB,2107,0.18
Andhra Pradesh,Kurnool,H. THOMAS,GENERAL,IND,1506,0.13
Andhra Pradesh,Kurnool,DEVARAPOGU MADDILETY,SC,IND,1702,0.14
Andhra Pradesh,Kurnool,BALIJA. SHIVA KUMAR,GENERAL,IND,2751,0.23
Andhra Pradesh,Kurnool,T. BEECHUPALLY,GENERAL,IND,9807,0.82
Andhra Pradesh,Kurnool,SRIHARI. P. V.,GENERAL,IND,6577,0.55
Andhra Pradesh,Kurnool,NOTA,,NOTA,7717,0.65
Andhra Pradesh,Anantapur,D.JAGADEESH,GENERAL,CPI,20294,1.51
Andhra Pradesh,Anantapur,TALARI RANGAIAH,GENERAL,YSRCP,695208,51.57
Andhra Pradesh,Anantapur,J.C. PAVAN REDDY,GENERAL,TDP,553780,41.08
Andhra Pradesh,Anantapur,K.RAJIV REDDY,GENERAL,INC,30079,2.23
Andhra Pradesh,Anantapur,HAMSA DEVINENI,GENERAL,BJP,7604,0.56
Andhra Pradesh,Anantapur,GADIDAMA RANGANAYAKULU,SC,VJNP,728,0.05
Andhra Pradesh,Anantapur,P.RADHA KRISHNA,GENERAL,RD,1220,0.09
Andhra Pradesh,Anantapur,G. LALITHA,GENERAL,SUCI(C),899,0.07
Andhra Pradesh,Anantapur,M.VENKATESULU,GENERAL,PPOI,1048,0.08
Andhra Pradesh,Anantapur,S.V.P. YADAV,GENERAL,IND,4398,0.33
Andhra Pradesh,Anantapur,P. RANGAIAH,GENERAL,IND,3588,0.27
Andhra Pradesh,Anantapur,L. RANGAIAH,GENERAL,IND,1691,0.13
Andhra Pradesh,Anantapur,VADDE KASINATH,GENERAL,IND,2066,0.15
Andhra Pradesh,Anantapur,SOMANATH DESHMUKH,GENERAL,IND,3237,0.24
Andhra Pradesh,Anantapur,NOTA,,NOTA,16466,1.22
Andhra Pradesh,Hindupur,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),GENERAL,INC,27156,2.03
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GENERAL,YSRCP,706602,52.73
Andhra Pradesh,Hindupur,KRISTAPPA . NIMMALA,GENERAL,TDP,565854,42.23
Andhra Pradesh,Hindupur,MITTA PARTHASARATHI,GENERAL,BJP,13805,1.03
Andhra Pradesh,Hindupur,Ram Mohan Singamneni,GENERAL,PPOI,1313,0.10
Andhra Pradesh,Hindupur,S.R.Anjaneyulu,GENERAL,IND,1227,0.09
Andhra Pradesh,Hindupur,GOGULA PULAKUNTA JAYANTH,GENERAL,IND,1582,0.12
Andhra Pradesh,Hindupur,Mugi Surya Prakash,GENERAL,IND,1316,0.10
Andhra Pradesh,Hindupur,Ramamohan D.G.,GENERAL,IND,2231,0.17
Andhra Pradesh,Hindupur,NOTA,,NOTA,17428,1.30
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GENERAL,YSRCP,783499,63.41
Andhra Pradesh,Kadapa,Adi Narayana Reddy Chadipirala,GENERAL,TDP,402773,32.60
Andhra Pradesh,Kadapa,Gundlakunta Sreeramulu,GENERAL,INC,8341,0.68
Andhra Pradesh,Kadapa,Gujjula Eswaraiah,GENERAL,CPI,6242,0.51
Andhra Pradesh,Kadapa,Sri Rama Chandra Singareddy,GENERAL,BJP,4085,0.33
Andhra Pradesh,Kadapa,Ameen Peeran,GENERAL,ANC,573,0.05
Andhra Pradesh,Kadapa,Putha Lakshmi Reddy,GENERAL,RDHP,368,0.03
Andhra Pradesh,Kadapa,Pedakala Varalakshmi,GENERAL,PPOI,716,0.06
